[2019-03-22 13:20:57,189] http://localhost:5000/tag?10001*1553228457175*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:57,342] http://localhost:5000/tag?10001*1553228457325*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:57,497] http://localhost:5000/tag?10001*1553228457489*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:58,065] http://localhost:5000/tag?10001*1553228458052*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:58,247] http://localhost:5000/tag?10001*1553228458228*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:17,332] http://localhost:5000/tag?10001*1553228657314*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:17,914] http://localhost:5000/tag?10001*1553228657902*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,115] http://localhost:5000/tag?10001*1553228658104*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,321] http://localhost:5000/tag?10001*1553228658315*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,500] http://localhost:5000/tag?10001*1553228658479*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,656] http://localhost:5000/tag?10001*1553228658637*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,806] http://localhost:5000/tag?10001*1553228658797*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,980] http://localhost:5000/tag?10001*1553228658972*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:19,126] http://localhost:5000/tag?10001*1553228659114*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 16:17:57,404] http://localhost:5000/tag?10001&conv=001*1553239077381*http://www.test.com/test2.html*N/A*1552587167022
[2019-03-22 16:18:02,391] http://localhost:5000/tag?10001&conv=001*1553239082373*http://www.test.com/test2.html*N/A*1552587167022
[2019-03-22 16:18:26,577] http://localhost:5000/tag?10001&conv=001*1553239106564*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:18:30,714] http://localhost:5000/tag?10001&conv=001*1553239110699*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:18:30,980] http://localhost:5000/tag?10001&conv=001*1553239110965*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:19:36,644] http://localhost:5000/tag?10001&conv=001*1553239176634*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:19:37,256] http://localhost:5000/tag?10001&conv=001*1553239177243*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:19:37,443] http://localhost:5000/tag?10001&conv=001*1553239177435*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:19:37,596] http://localhost:5000/tag?10001&conv=001*1553239177588*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:19:37,752] http://localhost:5000/tag?10001&conv=001*1553239177740*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:19:37,907] http://localhost:5000/tag?10001&conv=001*1553239177899*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:13,265] http://localhost:5000/tag?10001&conv=001*1553239213255*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:13,486] http://localhost:5000/tag?10001&conv=001*1553239213472*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:13,650] http://localhost:5000/tag?10001&conv=001*1553239213636*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:13,829] http://localhost:5000/tag?10001&conv=001*1553239213818*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:13,970] http://localhost:5000/tag?10001&conv=001*1553239213961*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:14,100] http://localhost:5000/tag?10001&conv=001*1553239214092*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:14,264] http://localhost:5000/tag?10001&conv=001*1553239214253*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:14,386] http://localhost:5000/tag?10001&conv=001*1553239214376*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:14,935] http://localhost:5000/tag?10001&conv=001*1553239214920*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:15,084] http://localhost:5000/tag?10001&conv=001*1553239215072*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:15,353] http://localhost:5000/tag?10001&conv=001*1553239215341*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:15,485] http://localhost:5000/tag?10001&conv=001*1553239215473*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:15,627] http://localhost:5000/tag?10001&conv=001*1553239215618*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:19,428] http://localhost:5000/tag?10001&conv=001*1553239219420*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:19,561] http://localhost:5000/tag?10001&conv=001*1553239219552*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:19,724] http://localhost:5000/tag?10001&conv=001*1553239219714*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:19,860] http://localhost:5000/tag?10001&conv=001*1553239219846*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:20,018] http://localhost:5000/tag?10001&conv=001*1553239220007*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:20,165] http://localhost:5000/tag?10001&conv=001*1553239220154*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:20,292] http://localhost:5000/tag?10001&conv=001*1553239220284*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:20,441] http://localhost:5000/tag?10001&conv=001*1553239220434*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:20,588] http://localhost:5000/tag?10001&conv=001*1553239220579*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:20,727] http://localhost:5000/tag?10001&conv=001*1553239220719*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:20,894] http://localhost:5000/tag?10001&conv=001*1553239220885*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:21,056] http://localhost:5000/tag?10001&conv=001*1553239221045*http://www.test.com/test2.html*N/A*1553239107177
